m    refMin    absMin    inputs    outputs    Size_SH1    Size_SH2    Size_SH3    Size_H1    Size_H2    Size_H3    Total_SH1    Total_SH2    Total_SH3    Total_H1    Total_H2    Total_H3    Impr_SH1    Impr_SH2    Impr_SH3    ImprLength_SH1    ImprLength_SH2    ImprLength_SH3    timeSH1    timeSH2    timeSH3
0    100    2    4    8    398    371    361    774    520    483    2327    2792    2698    4632    4693    4365    48.58    28.65    25.26    49.76    40.51    38.19    2883    19910    28100
0    100    3    4    8    452    367    350    808    528    492    2626    2811    2682    4780    4774    4459    44.06    30.49    28.86    45.06    41.12    39.85    2844    20360    29150
0    100    4    4    8    530    392    381    831    537    511    3157    3257    3132    5016    4851    4592    36.22    27    25.44    37.06    32.86    31.79    2945    24770    35160
0    100    5    4    8    529    391    376    832    553    524    3111    3153    3030    4959    4896    4604    36.42    29.29    28.24    37.27    35.6    34.19    2964    23710    34220
0    100    6    4    8    577    403    386    851    553    522    3423    3407    3266    5106    4979    4668    32.2    27.12    26.05    32.96    31.57    30.03    2960    27100    38660
0    100    7    4    8    581    405    381    858    551    517    3439    3402    3189    5139    4936    4620    32.28    26.5    26.31    33.08    31.08    30.97    2947    25680    36400
0    100    8    4    8    593    407    383    848    563    528    3561    3488    3283    5151    5053    4703    30.07    27.71    27.46    30.87    30.97    30.19    2977    27750    39560
0    100    9    4    8    594    427    396    860    560    531    3527    3589    3326    5170    5015    4718    30.93    23.75    25.42    31.78    28.43    29.5    2957    25870    36920
0    100    10    4    8    598    437    406    845    561    531    3562    3722    3438    5089    5013    4710    29.23    22.1    23.54    30.01    25.75    27.01    2977    27420    39010
0    100    11    4    8    649    443    413    859    555    521    3917    3841    3575    5229    5011    4674    24.45    20.18    20.73    25.09    23.35    23.51    3051    31910    45850
0    100    12    4    8    653    448    415    847    553    513    3985    3969    3671    5216    5041    4666    22.9    18.99    19.1    23.6    21.27    21.32    3033    34000    48380
0    100    13    4    8    708    479    441    843    552    513    4461    4389    4026    5366    5176    4769    16.01    13.22    14.04    16.87    15.2    15.58    3157    42100    60510
0    100    14    4    8    690    479    444    828    571    527    4388    4416    4080    5323    5329    4905    16.67    16.11    15.75    17.57    17.13    16.82    3187    42520    60990
0    100    15    4    8    692    489    448    834    572    535    4425    4536    4166    5393    5337    4957    17.03    14.51    16.26    17.95    15.01    15.96    3191    43800    62650
0    100    16    4    8    702    474    440    835    566    527    4496    4436    4102    5400    5272    4889    15.93    16.25    16.51    16.74    15.86    16.1    3140    44650    63450
0    100    17    4    8    745    497    462    863    550    517    4745    4668    4298    5549    5233    4889    13.67    9.636    10.64    14.49    10.8    12.09    3163    45440    64840
