m    refMin    absMin    inputs    outputs    Size_SH1    Size_SH2    Size_SH3    Size_H1    Size_H2    Size_H3    Total_SH1    Total_SH2    Total_SH3    Total_H1    Total_H2    Total_H3    Impr_SH1    Impr_SH2    Impr_SH3    ImprLength_SH1    ImprLength_SH2    ImprLength_SH3    timeSH1    timeSH2    timeSH3
0    100    2    4    8    603    462    418    889    584    556    3391    3700    3365    5023    5257    4920    32.17    20.89    24.82    32.49    29.62    31.61    3024    31330    44980
0    100    3    4    8    722    511    470    880    577    548    4065    4309    3960    4959    5117    4796    17.95    11.44    14.23    18.03    15.79    17.43    3286    43200    60910
0    100    4    4    8    752    513    477    880    577    546    4217    4338    4018    4936    5072    4742    14.55    11.09    12.64    14.57    14.47    15.27    3336    47480    68380
0    100    5    4    8    778    530    493    879    571    544    4366    4490    4149    4937    4987    4692    11.49    7.18    9.375    11.57    9.966    11.57    3394    50410    72810
0    100    6    4    8    791    521    490    871    564    540    4431    4451    4162    4887    4919    4646    9.185    7.624    9.259    9.331    9.514    10.42    3488    52500    75450
0    100    7    4    8    817    546    507    876    569    538    4585    4698    4327    4924    4960    4634    6.735    4.042    5.762    6.885    5.282    6.625    3422    54910    78100
0    100    8    4    8    824    539    508    878    566    538    4628    4648    4339    4930    4940    4644    6.15    4.77    5.576    6.126    5.911    6.568    3496    55890    80560
0    100    9    4    8    840    547    515    882    567    542    4730    4738    4412    4969    4937    4656    4.762    3.527    4.982    4.81    4.031    5.241    3428    57040    82440
0    100    10    4    8    841    541    510    880    562    535    4742    4710    4401    4966    4924    4636    4.432    3.737    4.673    4.511    4.346    5.069    3469    57500    83840
0    100    11    4    8    848    556    522    878    568    541    4767    4823    4478    4938    4953    4658    3.417    2.113    3.512    3.463    2.625    3.864    3470    59210    84390
0    100    12    4    8    847    544    513    877    563    535    4756    4725    4414    4928    4912    4625    3.421    3.375    4.112    3.49    3.807    4.562    3517    58660    85140
0    100    13    4    8    856    547    519    881    566    541    4820    4765    4467    4966    4927    4653    2.838    3.357    4.067    2.94    3.288    3.997    3518    58780    85770
0    100    14    4    8    854    545    517    877    563    539    4804    4739    4443    4929    4890    4618    2.623    3.197    4.082    2.536    3.088    3.79    3451    59240    85580
0    100    15    4    8    856    547    517    877    564    536    4810    4761    4454    4929    4900    4609    2.395    3.014    3.545    2.414    2.837    3.363    3585    59920    85890
0    100    16    4    8    859    549    521    879    565    540    4815    4762    4472    4927    4911    4638    2.275    2.832    3.519    2.273    3.034    3.579    3544    59780    86130
0    100    17    4    8    860    545    519    878    560    537    4820    4734    4458    4919    4866    4607    2.05    2.679    3.352    2.013    2.713    3.234    3545    60530    87220
0    100    18    4    8    858    551    518    874    563    534    4822    4804    4478    4912    4903    4607    1.831    2.131    2.996    1.832    2.019    2.8    3538    60790    87580
